,video_id,published_at,video_title,publisher,view_count,comment_count
0,Xs0IidswRXE,2022-01-20T16:00:12Z,Chasing Unseen Horizons - Elon Musk Inspiring Speech,Planet Trailers,2967,36
1,Un2gSPpjqFo,2022-02-18T05:00:11Z,DDG - Elon Musk ft. Gunna (Official Audio),DDGVEVO,4926744,10532
2,fW43Pdw3F00,2022-03-24T22:00:31Z,DDG - Elon Musk ft. Gunna (Official Music Video),DDGVEVO,14381230,113565
3,cdZZpaB2kDM,2022-04-14T18:20:59Z,"Elon Musk talks Twitter, Tesla and how his brain works — live at TED2022",TED,13548661,18233
4,3Ux6B3bvO0w,2022-05-14T14:00:08Z,[2022] Elon Musk Explains Updates To Starship And Starbase!,Everyday Astronaut,2367820,7064
5,AiRfGDWrBDI,2022-06-04T12:00:09Z,Elon Musk tells Tesla employees that remote work is no longer acceptable,Yahoo Finance,149344,524
6,3Acx_n2WfYM,2022-07-12T17:00:01Z,The Modern Snake Oil Salesman - Elon Musk,Peaked Interest,180753,2071
7,whQM1ozV9nY,2022-08-23T16:11:12Z,Getting Fired From Tesla by Elon Musk,The Iced Coffee Hour,13778312,5639
8,uGH8VbqdcSU,2022-09-25T18:09:21Z,Elon Musk PROVES Time Travel is REAL #elonmusk #spacex #timetravel,AstroKobi,13133397,16963
9,0F4_bAio04E,2022-10-09T07:59:47Z,David Goggins meets Elon Musk on Mars | The Big Red #shorts,Stepmates TV,1841988,1693
10,DWllANX7aJA,2022-10-28T15:00:07Z,Elon Musk disliking smalltalk is the most relatable thing about him  #TheElonMuskShow #iPlayer,BBC,3680166,2593
11,JEikQP8-es0,2022-11-29T22:01:39Z,Working for Elon Musk: Ex-Employees Reveal His Management Strategy | WSJ,The Wall Street Journal,2331753,4362
12,LUQtHCsGJ4o,2023-01-18T20:15:00Z,How Elon Musk caught a spy,Dylan Jardon,7136947,3218
13,NEIYcyQc__A,2023-02-02T18:00:16Z,Where is Elon's Tesla Roadster In Space? #elonmusk #spacex #tesla,AstroKobi,2549904,1568
14,6cf6dwtdxdI,2023-03-02T07:59:53Z,"Elon Musk Warns Against AI, Says It Is Dangerous",Business Today,34401,90
15,RNuCFgO8MXg,2023-04-20T08:07:57Z,Tucker Carlson bursts out laughing as Elon Musk describes Twitter layoffs #shorts,The Independent,12514036,12805
16,6sUwRiIncKU,2023-05-16T23:26:40Z,"Tesla CEO Elon Musk: I'll say what I want to say, and if we lose money, so be it",CNBC Television,1523339,6861
17,tMdFGrnp5XI,2023-06-16T15:33:29Z,Elon Musk delivers speech at VivaTech,Sky News,707957,1815
18,Ko8C3surjhM,2023-07-18T16:01:52Z,Elon Sues The Lawyers That Forced Him to Buy Twitter,LegalEagle,2748018,9063
19,Apk736grxiY,2023-07-30T16:30:02Z,Elon Musk Is Weird,KnowledgeHusk,836473,6926
20,cYBgE5C4HaY,2023-09-12T19:10:40Z,Elon Musk Biographer on How the Tesla CEO Acts Behind Closed Doors | WSJ,The Wall Street Journal,518770,890
21,SVgVzEVeP4Q,2023-11-11T17:00:25Z,How Elon Musk’s Starlink Is Bringing In Billions For SpaceX,CNBC,3139805,3755
